time,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
0.000000000000000000e+00,8.003070094360415609e+00,8.008397133930721168e+00,8.003929495402791972e+00,8.011102358791589495e+00,8.006126815809963659e+00,8.019789379954181285e+00,7.992720487373420113e+00,8.009947069685258825e+00,7.992774324774047479e+00,8.002611318782491878e+00,7.994101939595975814e+00,7.991991153341479581e+00,7.989037659692483473e+00,8.006860866876138516e+00,7.994566872780483280e+00,8.010012134388695415e+00,7.993711035766651207e+00,8.005989056118609781e+00,8.001088165738607927e+00,8.005082897166694522e+00,8.003919190264342731e+00,7.992613229782574713e+00,8.008318876745782688e+00,8.010708629828316774e+00,7.988648260346779217e+00,7.992452767218485299e+00,7.993721818864231388e+00,8.007975190037729618e+00,8.002904872523682656e+00,7.992816808995680589e+00,8.009770897169975257e+00,8.010585930643109975e+00,7.978224106371788693e+00,8.000089540378729325e+00,8.022193346613965659e+00,8.008105431043984979e+00,8.006444121165767314e+00,8.003305738427018312e+00,8.014132332860750552e+00,8.013780939317371121e+00
1.000000000000000021e-02,8.002529074344099769e+00,8.007560659032318284e+00,8.004541825626816376e+00,8.010890598247721428e+00,8.007239902957905997e+00,8.018149023213203108e+00,7.992964659132050009e+00,8.007797938172418029e+00,7.993573793645236236e+00,8.001410125796654782e+00,7.994028139170966440e+00,7.991085279671629849e+00,7.990171561787237309e+00,8.007101135149545357e+00,7.996201810672012300e+00,8.008894394397623628e+00,7.994588709983771579e+00,8.005299072328938337e+00,8.001938276260151639e+00,8.004867051022278801e+00,8.003184560932542269e+00,7.992971588024668783e+00,8.008786625365452494e+00,8.010224310428871064e+00,7.987429262217943027e+00,7.991262040191517535e+00,7.995400091614355276e+00,8.008770385434797134e+00,8.002746097747575504e+00,7.993019347100767114e+00,8.010238695751507265e+00,8.009287618990393653e+00,7.977690348106089679e+00,8.001148295366593999e+00,8.024387192578950945e+00,8.008426838972546591e+00,8.004805699970811261e+00,8.003757903882267044e+00,8.014633270354780237e+00,8.013586100524831224e+00
2.000000000000000042e-02,8.001885384018972758e+00,8.006801117484034336e+00,8.005184324534702967e+00,8.010825605911202629e+00,8.008162924852191722e+00,8.016545051025877555e+00,7.992962187273416674e+00,8.005858074672550728e+00,7.994266750002449129e+00,8.000372360455449083e+00,7.993831420649422981e+00,7.990368356840989783e+00,7.991331662851695050e+00,8.007525698382838897e+00,7.997642326116381817e+00,8.007823367945668736e+00,7.995286437893574849e+00,8.004766755768530473e+00,8.002699882024510103e+00,8.004642291428352152e+00,8.002423772241685995e+00,7.993381555018318707e+00,8.009265770137849572e+00,8.009612424934600128e+00,7.986097436638268654e+00,7.990266128151160885e+00,7.997228828019368407e+00,8.009627515691397193e+00,8.002464065080214795e+00,7.993187428294116437e+00,8.010614310742486310e+00,8.007947259274079244e+00,7.977223592464780744e+00,8.002476925915210870e+00,8.026616029396324237e+00,8.008514069557381987e+00,8.003043942771661534e+00,8.004233352766014775e+00,8.015245937531442877e+00,8.013309152879315889e+00
2.999999999999999889e-02,8.001137567027855724e+00,8.006127840507964777e+00,8.005875710819161384e+00,8.010884362711275131e+00,8.008896322259573708e+00,8.014948066858289977e+00,7.992746961954306784e+00,8.004116572024186027e+00,7.994884538614384972e+00,7.999471419063081790e+00,7.993534812227442998e+00,7.989829577549289574e+00,7.992539931610601833e+00,8.008102838625042352e+00,7.998889981575661778e+00,8.006772090799906039e+00,7.995833575745471045e+00,8.004381458520427373e+00,8.003385774491693638e+00,8.004394957916316500e+00,8.001647762725134783e+00,7.993844429501002047e+00,8.009747237959501831e+00,8.008861734265925847e+00,7.984669746377209165e+00,7.989486042098715934e+00,7.999218699559107471e+00,8.010519309133178112e+00,8.002044343978957031e+00,7.993310514372592657e+00,8.010906058394645868e+00,8.006574926823880389e+00,7.976851781890318627e+00,8.004077436310996774e+00,8.028853339266261102e+00,8.008337887663062205e+00,8.001161348330567691e+00,8.004760618459329180e+00,8.015972052549376059e+00,8.012939665102264186e+00
4.000000000000000083e-02,8.000284931860049298e+00,8.005552397101666884e+00,8.006632742622764809e+00,8.011043131435418019e+00,8.009436955082755105e+00,8.013333477938513028e+00,7.992351945350404385e+00,8.002567047394563815e+00,7.995453498962941552e+00,7.998683329116946794e+00,7.993158098052837168e+00,7.989461810911580919e+00,7.993813940951612906e+00,8.008801831063205867e+00,7.999942789357151973e+00,8.005718626910519831e+00,7.996258469034703609e+00,8.004135449248371614e+00,8.004005298683988912e+00,8.004113083862131717e+00,8.000866596779165008e+00,7.994361728071201156e+00,8.010220373896604684e+00,8.007962440029738005e+00,7.983165505683468055e+00,7.988944097827544333e+00,8.001376573239419088e+00,8.011415818886852946e+00,8.001471223188008963e+00,7.993381193615157976e+00,8.011124291576635414e+00,8.005183505443181247e+00,7.976601858351489938e+00,8.005948637242497057e+00,8.031068360131866868e+00,8.007869668335313662e+00,7.999165052206794968e+00,8.005370323487587925e+00,8.016812017319736583e+00,8.012464854756618848e+00
5.000000000000000278e-02,7.999327850961227782e+00,8.005088599138176164e+00,8.007470091991759631e+00,8.011277022780321388e+00,8.009778682218188450e+00,8.011681479032173314e+00,7.991809774088728169e+00,8.001206834026037384e+00,7.995995257973062209e+00,7.997986169502687481e+00,7.992718510598633586e+00,7.989261046697573754e+00,7.995167202300380360e+00,8.009592412927712957e+00,8.000795978473716374e+00,8.004645906819424894e+00,7.996588921546361028e+00,8.004023229524369398e+00,8.004564573765488689e+00,8.003786117861400484e+00,8.000089745847935419e+00,7.994934941866781664e+00,8.010673135521344079e+00,8.006906358968345572e+00,7.981606558549853681e+00,7.988663464216613441e+00,8.003705141255416322e+00,8.012284277835066248e+00,8.000728306424733205e+00,7.993395542878579896e+00,8.011281666495342790e+00,8.003788298274344015e+00,7.976499325652786077e+00,8.008085644669709069e+00,8.033226288392324221e+00,8.007082059815759933e+00,7.997067269327896355e+00,8.006094952937795384e+00,8.017764354951847139e+00,8.011869524071203230e+00
5.999999999999999778e-02,7.998268103074718915e+00,8.004752497139634215e+00,8.008400162631385655e+00,8.011559611187324847e+00,8.009912949668532178e+00,8.009977111259487970e+00,7.991153243862460620e+00,8.000036197875489918e+00,7.996526933656433300e+00,7.997359610609247937e+00,7.992231353893248347e+00,7.989225908496909057e+00,7.996609405520156422e+00,8.010444357077364685e+00,8.001442721103003919e+00,8.003541637066126313e+00,7.996852545904284959e+00,8.004040881339630431e+00,8.005066658962178394e+00,8.003404721662471744e+00,7.999326333517335463e+00,7.995565330005122817e+00,8.011092279414473438e+00,8.005687125864739073e+00,7.980017401575576486e+00,7.988667672102847561e+00,8.006202533359431328e+00,8.013089041071884466e+00,7.999799163536909674e+00,7.993353511418680668e+00,8.011393323417674850e+00,8.002406575565315094e+00,7.976567761619778096e+00,8.010479435774467305e+00,8.035288570881016668e+00,8.005949714196772149e+00,7.994885688022632664e+00,8.006968529213297714e+00,8.018825115816877513e+00,8.011136043730161305e+00
7.000000000000000666e-02,7.997109259327946695e+00,8.004562358148108459e+00,8.009432852050544227e+00,8.011862602121787802e+00,8.009829397066491552e+00,8.008210381889847795e+00,7.990415678210755601e+00,7.999057567786386436e+00,7.997061269423165975e+00,7.996784567041809844e+00,7.991710569744575388e+00,7.989357219215084349e+00,7.998146578429245146e+00,8.011327141990960854e+00,8.001874831323801729e+00,8.002398262819982122e+00,7.997077001959255860e+00,8.004185437149631710e+00,8.005511680554125320e+00,8.002960639319265823e+00,7.998585351267430532e+00,7.996253743101980227e+00,8.011463544482555932e+00,8.004300417416173374e+00,7.978425249158406451e+00,7.988980081546455558e+00,8.008861923316873188e+00,8.013791623093799998e+00,7.998668038807539737e+00,7.993259311470002793e+00,8.011476972587601608e+00,8.001057055521259898e+00,7.976828292936211540e+00,8.013116473533797190e+00,8.037213294315195711e+00,8.004450075599585546e+00,7.992643799809676430e+00,8.008026182581010843e+00,8.019987260944256846e+00,8.010244395888458158e+00
8.000000000000000167e-02,7.995857112023490032e+00,8.004538616428666487e+00,8.010575259326975228e+00,8.012155553923308915e+00,8.009516491409513606e+00,8.006376430969471159e+00,7.989631181858206865e+00,7.998274770474099959e+00,7.997606717858984027e+00,7.996242957235496718e+00,7.991169256081531280e+00,7.989657603969111399e+00,7.999781178382318281e+00,8.012209712101810766e+00,8.002083446155202395e+00,8.001212967039128543e+00,7.997290127772909152e+00,8.004454266367854842e+00,8.005896934648657037e+00,8.002446633293820000e+00,7.997875849841501683e+00,7.997000470954822582e+00,8.011771835655999041e+00,8.002744189936857211e+00,7.976860038387990848e+00,7.989623306791029833e+00,8.011671141432438858e+00,8.014350837202217193e+00,7.997320615778521713e+00,7.993121799438094754e+00,8.011552876435242609e+00,7.999759316790523656e+00,7.977299046830726326e+00,8.015978412143857312e+00,8.038955678553417528e+00,8.002564213388270176e+00,7.990371148523748523e+00,8.009303613775269781e+00,8.021240033453846507e+00,8.009172287998255868e+00
8.999999999999999667e-02,7.994520143327354944e+00,8.004703787076620003e+00,8.011831340100483700e+00,8.012405658773827710e+00,8.008962195415961105e+00,8.004475730353696861e+00,7.988834777791665509e+00,7.997692264177581833e+00,7.998167492081314833e+00,7.995717565478852151e+00,7.990620143768866868e+00,7.990131116898040453e+00,8.001512127145318232e+00,8.013060324300944615e+00,8.002059696493573071e+00,7.999987690280277342e+00,7.997519966816824422e+00,8.004844474623569184e+00,8.006216979632805320e+00,8.001856483969591594e+00,7.997207109548952531e+00,7.997805109087850362e+00,8.012001410623296849e+00,8.001018924019700052e+00,7.975354370863550812e+00,7.990618599689827128e+00,8.014612305779337476e+00,8.014723044534495244e+00,7.995744835497771597e+00,7.992954830424015888e+00,8.011643719475376457e+00,7.998533143660576883e+00,7.977994595240231135e+00,8.019041895894318372e+00,8.040468677817749210e+00,8.000277685455241539e+00,7.988103482047818282e+00,8.010836447022821716e+00,8.022568330755687427e+00,8.007895349075395686e+00
